"CategoriaMovimentoID","NomeCategoria","Tipologia"
"1","Opening a current account","Income"
"2","Incoming Bank Transfer","Income"
"3","Outgoing Bank Transfer","Expenditure"
"4","Cash Withdrawal","Expenditure"
"5","Bill Payment","Expenditure"
"6","Recharge","Expenditure"
"7","ATM Deposit","Income"
"8","Payments","Expenditure"
"9","Emolument Credit","Income"
"10","Loans","Expenditure"
"11","Mortgages","Expenditure"
"ContoCorrenteID","Email","Password","CognomeTitolare","NomeTitolare","NumeroTelefono","DataApertura","IBAN","RegistrazioneConfermata","Token"
"1","example@email.com","cctcgl2tCQJ0.","Does","Johns","123456789","2023-05-26","IT1234567890121346802457249","1","token123"
"2","example10@email.com","ccgja.tF8Bbgs","Federico","Rossi","136792468","2023-05-26","IT1236567890144496014412023","1","3c79e1b2"
"3","example12@email.com","password1234RA","Mattia","Pasquino","136992468","2023-05-26","IT1238567890321350194231434","0",NULL
"32","messinadenaro41222@gmail.com","ccQcJBhrmLfrU","alzari","muhammed",,"2023-06-05",NULL,"0","UDlFQbGhtS"
"9","genol.libera66@gmail.com","ccw.BJKHiMQn2","Libero","Genoveffa","1229222378","2023-06-04",NULL,"0","6ItBNSumZk"
"5","fobewe3964@vaband.com","ccvU/YgxmzK2.","Rossi","Marco","1249102999","2023-06-04",NULL,"0","edzZFwooum"
"6","fobewe3954@vaband.com","ccvU/YgxmzK2.","Verdi","Nick","1233102378","2023-06-04",NULL,"0","sR1ElsAqnW"
"16","mirkocampa17@gmail.com","ccRudwPqajVA.","Campagnaro","Mirko",,"2023-06-05",NULL,"1","meWcIU97mL"
"35","nicotumma03@gmail.com","ccxfeqn3mGBdU","Tommasin","Nicolò","3931105612","2023-06-06","IT51PZXVB368802313238","1","NZqd1zdhUN"
"IDIp","IndirizzoIp","DataOraAccesso","IsBlackListed","ContoCorrenteID","GuaranteedAccess"
"1","192.168.0.1","2023-05-26 10:00:00","0","1","1"
"2","192.168.0.5","2023-05-29 16:30:00","0","1","1"
"3","192.168.0.6","2023-05-30 11:15:00","1","3","0"
"4","192.168.0.8","2023-06-01 14:00:00","0","1","1"
"5","192.168.0.9","2023-06-02 17:20:00","1","1","0"
"6","192.168.0.10","2023-06-03 10:10:00","0","1","1"
"7","192.168.0.11","2023-06-04 09:30:00","1","1","0"
"8","192.168.0.12","2023-06-05 15:40:00","0","1","0"
"9","192.168.0.13","2023-06-06 12:00:00","0","1","0"
"10","192.168.0.14","2023-06-07 13:50:00","1","1","0"
"11","192.168.0.15","2023-06-08 16:15:00","0","1","1"
"12","192.168.0.16","2023-06-09 11:25:00","1","1","0"
"13","192.168.0.17","2023-06-10 10:35:00","0","3","1"
"14","192.168.0.1","2023-06-10 10:35:00","0","1","0"
"15","192.168.0.1","2023-06-10 10:35:10","0","1","0"
"16","192.168.0.100","2023-06-10 10:35:00","0","1","0"
"17","192.168.0.100","2023-06-10 10:35:30","0","1","0"
"18","192.168.0.100","2023-06-10 10:35:40","0","1","0"
"19","192.168.0.150","2023-06-10 10:35:00","0","1","0"
"20","192.168.0.150","2023-06-10 10:35:10","0","1","0"
"21","192.168.0.150","2023-06-10 10:35:20","0","1","0"
"22","192.168.0.150","2023-06-10 10:35:50","1","1","0"
"23","151.44.52.43","2023-05-31 17:18:11","0","1","1"
"24","151.44.52.43","2023-05-31 17:23:29","0","3","1"
"25","151.44.52.43","2023-05-31 17:24:04","0","1","0"
"26","151.44.52.43","2023-05-31 17:28:51","0","1","0"
"27","151.44.52.43","2023-05-31 17:29:06","0","1","1"
"28","89.97.206.30","2023-06-01 10:37:52","0","1","1"
"29","89.39.107.197","2023-06-01 12:45:20","0","1","0"
"30","89.39.107.197","2023-06-01 12:45:36","0","3","0"
"31","89.39.107.197","2023-06-01 12:45:51","0","1","1"
"32","89.39.107.197","2023-06-01 12:50:51","0","1","1"
"33","89.97.206.30","2023-06-01 12:55:45","0","1","1"
"34","89.39.107.197","2023-06-01 12:58:46","0","1","1"
"35","89.39.107.197","2023-06-01 15:20:37","0","1","1"
"36","89.39.107.197","2023-06-01 15:20:59","0","1","1"
"37","89.39.107.197","2023-06-01 15:27:44","0","1","0"
"38","89.39.107.197","2023-06-01 15:27:51","0","1","0"
"39","89.39.107.197","2023-06-01 15:27:57","0","1","0"
"40","89.39.107.197","2023-06-01 15:28:05","0","1","0"
"41","89.39.107.197","2023-06-01 15:28:19","0","1","0"
"42","89.39.107.197","2023-06-01 15:28:52","0","1","0"
"43","89.39.107.197","2023-06-01 15:29:23","0","1","0"
"44","89.39.107.197","2023-06-01 15:30:18","0","1","0"
"45","89.39.107.197","2023-06-01 15:30:49","0","1","0"
"46","89.39.107.197","2023-06-01 15:31:21","0","1","0"
"47","89.39.107.197","2023-06-01 15:31:52","0","1","0"
"48","89.39.107.197","2023-06-01 15:32:23","0","1","0"
"49","89.39.107.197","2023-06-01 15:32:54","0","1","0"
"50","89.39.107.197","2023-06-01 15:33:25","0","1","0"
"51","89.39.107.197","2023-06-01 15:34:26","0","1","0"
"52","151.36.80.114","2023-06-01 17:16:33","0","1","0"
"53","151.36.80.114","2023-06-01 17:16:38","0","1","0"
"54","151.36.80.114","2023-06-01 17:16:49","0","1","0"
"55","151.36.80.114","2023-06-01 17:17:22","0","1","0"
"56","151.36.80.114","2023-06-01 17:17:53","0","1","0"
